0,1,2
指标,1-2月,增长%
地区生产总值（2025年，亿元）,145846.76,3.9
规模以上工业增加值（亿元）,—,7.9
#制造业（亿元）,—,7.8
#规模以上工业出口交货值（亿元）,5971.80,8.3
固定资产投资额（亿元）,—,0.9
#基础设施（亿元）,—,15.6
#房地产开发投资（亿元）,1033.03,-17.8
#民间投资（亿元）,—,-8.5
社会消费品零售总额（亿元）,8464.22,4.6
进出口总额（亿元）,16362.9,22.1
#出口总额,10442.8,22.6
居民消费价格指数（上年同期＝100）,100.4,0.4
工业生产者出厂价格指数（上年同期＝100）,98.4,-1.6
工业生产者购进价格指数（上年同期＝100）,99.3,-0.7
全社会用电量（亿千瓦时）,1241.92,9.6
#工业用电量（亿千瓦时）,712.95,10.5
#制造业用电量（亿千瓦时）,582.92,9.7
货运量（万吨）,54995,9.0
中外资银行业机构本外币存款余额（亿元）,398046.34,7.8
