0,1,2
指标名称,总量（亿元）,增长（%）
地区生产总值,145846.76,3.9
农林牧渔业,6172.52,4.8
工业,48895.34,3.9
建筑业,6444.75,-6.2
批发和零售业,13340.21,1.6
交通运输、仓储和邮政业,5122.03,3.8
住宿和餐饮业,2545.62,2.4
金融业,13152.15,7.7
房地产业,10204.30,0.0
其他服务业,39969.83,6.2
第一产业,5891.80,4.5
第二产业,54993.50,2.4
第三产业,84961.46,4.7
注：1.地区生产总值总量按现价计算，增长速度按不变价计算；表中数据未作机械调整。2.三次产业分类依据国家统计局2018年修订的《三次产业划分规定》，行业分类采用《国民经济行业分类（GB/T 4754－2017）》。,注：1.地区生产总值总量按现价计算，增长速度按不变价计算；表中数据未作机械调整。2.三次产业分类依据国家统计局2018年修订的《三次产业划分规定》，行业分类采用《国民经济行业分类（GB/T 4754－2017）》。,注：1.地区生产总值总量按现价计算，增长速度按不变价计算；表中数据未作机械调整。2.三次产业分类依据国家统计局2018年修订的《三次产业划分规定》，行业分类采用《国民经济行业分类（GB/T 4754－2017）》。
